,Unnamed_ 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,gp_normalized,pts_normalized,reb_normalized,ast_normalized,usg_pct_normalized,gp_weighted,pts_weighted,reb_weighted,ast_weighted,usg_pct_weighted,net_rating_weighted,pts_final_weighted,reb_final_weighted,ast_final_weighted,usg_pct_final_weighted,S_i+,S_i-,TOPSIS_score,WSM_score,WPM_score,WASPAS_score
1,12376,O.G. Anunoby,TOR,25,200.66,105.233344,Indiana,United Kingdom,2017,1,23,67,16.8,5,2,3,0.037,0.11,0.192,0.586,0.08,2022-23,0.75,0.8279569892473118,0.5301204819277109,0.36,0.5348837209302325,0.21599999999999997,0.17304301075268816,0.962698795180723,0.32112,0.26744186046511625,3.615,0.4003582492143194,0.5379786285308034,0.16754442835417782,0.1308999077021169,7.253555036556078,19.896114593150564,0.7328308176310411,5.0677812138014176,0.39307389118397335,2.7304275524926953
2,12693,Keegan Murray,SAC,22,203.2,102.0582,Iowa,USA,2022,1,4,80,12.2,4.6,1.2,1.7,0.038,0.123,0.156,0.597,0.053,2022-23,0.9666666666666667,0.5806451612903225,0.4819277108433734,0.2,0.3255813953488371,0.2784,0.12135483870967739,0.8751807228915661,0.1784,0.16279069767441856,2.0485,0.28077072022822397,0.4890714804825484,0.09308023797454323,0.07967820468824506,8.823939160601103,18.327203775190657,0.6750067140279011,3.2695006433735605,0.28884912952064035,1.7791748864471004
3,12425,Walker Kessler,UTA,21,213.36,111.13004,Auburn,USA,2022,1,22,74,9.2,8.4,0.9,3,0.133,0.205,0.13,0.7020000000000001,0.057,2022-23,0.8666666666666667,0.4193548387096773,0.9397590361445783,0.13999999999999999,0.17441860465116277,0.2496,0.08764516129032256,1.7066024096385544,0.12487999999999999,0.08720930232558138,3.615,0.20277885349816174,0.9536893869409696,0.06515616658218026,0.042684752511559856,7.2496869466977225,19.908109313401173,0.7330531948444876,5.1289091595328715,0.2803292820159644,2.704619220774418
4,12590,AJ Griffin,ATL,19,198.12,99.79024,Duke,USA,2022,1,16,72,8.9,2.1,1,1.5,0.026,0.08,0.174,0.5770000000000001,0.07,2022-23,0.8333333333333334,0.4032258064516129,0.18072289156626503,0.16,0.43023255813953476,0.24,0.08427419354838708,0.3281927710843373,0.14272,0.21511627906976738,1.8075,0.19497966682515555,0.18340180518095564,0.07446419037963459,0.10528905619518097,9.089858027208093,18.079035068100904,0.6654314183753937,2.6056347185809265,0.22258823052721316,1.41411147455407
5,12367,Ousmane Dieng,OKC,20,205.74,83.91452,None,France,2022,1,11,39,4.9,2.7,1.2,2.9,0.03,0.141,0.154,0.505,0.108,2022-23,0.2833333333333333,0.1881720430107527,0.25301204819277107,0.2,0.31395348837209297,0.08159999999999999,0.03932795698924731,0.4594698795180723,0.1784,0.15697674418604649,3.4945,0.09099051118507259,0.2567625272533379,0.09308023797454323,0.07683255452080774,7.414042154427703,19.76441438547226,0.7272088595780506,4.093765830933761,0.19040029546345405,2.1420830631986076
6,12370,Orlando Robinson,MIA,22,208.28,106.59412,Fresno State,USA,Undrafted,Undrafted,Undrafted,31,3.7,4.1,0.8,3.8,0.108,0.201,0.1159999999999999,0.565,0.086,2022-23,0.15,0.12365591397849462,0.4216867469879517,0.12000000000000002,0.09302325581395283,0.043199999999999995,0.025844086021505376,0.7657831325301203,0.10704000000000002,0.04651162790697642,4.579,0.059793764493047706,0.42793754542222984,0.055848142784725954,0.022765201339498435,6.329588232826131,20.851109601085955,0.7671292962563677,5.188544654039502,0.13638349581741852,2.6624640749284603
7,12545,Dyson Daniels,NOP,20,200.66,90.264808,None,Australia,2022,1,8,59,3.8,3.2,2.3,0.4,0.035,0.14,0.113,0.503,0.172,2022-23,0.6166666666666667,0.12903225806451613,0.3132530120481928,0.41999999999999993,0.07558139534883719,0.1776,0.026967741935483867,0.5688674698795181,0.3746399999999999,0.037790697674418595,0.48200000000000004,0.06239349338404978,0.31789646231365654,0.19546849974654076,0.018496726088342602,10.40149412125999,16.75472450331659,0.6169756082370556,1.2538551815325898,0.13531557073289818,0.694585376132744
8,12629,Dalen Terry,CHI,20,200.66,88.45044,Arizona,USA,2022,1,18,38,2.2,1,0.6,3.3,0.0559999999999999,0.1169999999999999,0.173,0.523,0.157,2022-23,0.26666666666666666,0.04301075268817205,0.048192771084337345,0.07999999999999999,0.42441860465116266,0.0768,0.008989247311827958,0.08751807228915662,0.07135999999999999,0.21220930232558133,3.9765,0.0207978311280166,0.04890714804825484,0.03723209518981729,0.1038662311114623,6.969304208054023,20.24451612466417,0.7439057022186966,4.264103305477552,0.10310365796323513,2.1836034817203935
9,12668,Kevon Harris,ORL,26,198.12,97.975872,Stephen F. Austin,USA,Undrafted,Undrafted,Undrafted,34,4.1,2.1,0.5,0.3,0.057,0.092,0.129,0.564,0.049,2022-23,0.2,0.14516129032258063,0.18072289156626503,0.06,0.16860465116279066,0.0576,0.030338709677419348,0.3281927710843373,0.05352,0.08430232558139533,0.3615,0.07019268005705599,0.18340180518095564,0.02792407139236297,0.0412619274278412,10.538110167072848,16.63033385999498,0.6121194810945462,0.7418804840582157,0.08221651761200083,0.41204850083510824
10,12614,Christian Koloko,TOR,23,213.36,104.32616,Arizona,Cameroon,2022,2,33,58,3.1,2.9,0.5,9,0.094,0.11,0.1,0.517,0.05,2022-23,0.6,0.0913978494623656,0.2771084337349397,0.06,0,0.17279999999999998,0.019102150537634408,0.5032289156626505,0.05352,0,10.845,0.04419539114703526,0.2812161012774653,0.02792407139236297,0,0.9978775949086637,27.11455940213633,0.9645040522451485,11.371135563816864,0,5.685567781908432